Test Name,Duration(ms),Operations,Throughput(ops/sec),Avg Latency(ms),P95 Latency(ms),P99 Latency(ms),Read Ratio,Thread Count,Transaction Size,Working Set Size,Write Ratio
ReadHeavy_90_10,3376,1000,296.209,3.135,5,8,90.000000%,1,1,1000,10.000000%
ReadWrite_70_30,3879,1000,257.798,3.654,7,8,70.000000%,1,1,1000,30.000000%
Balanced_50_50,4314,1000,231.803,4.008,8,8,50.000000%,1,1,1000,50.000000%
WriteHeavy_30_70,4727,1000,211.551,4.423,8,8,30.000000%,1,1,1000,70.000000%
TransactionSize_1,3759,1000,266.028,3.516,7,8,70.000000%,1,1,1000,30.000000%
TransactionSize_5,3836,1000,260.688,3.557,7,8,70.000000%,1,5,1000,30.000000%
TransactionSize_10,3884,1000,257.467,3.583,8,8,70.000000%,1,10,1000,30.000000%
TransactionSize_20,3950,1000,253.165,3.642,7,8,70.000000%,1,20,1000,30.000000%
LongRunning_1min,23252,6000,258.042,3.61433,7,8,70.000000%,1,5,1000,30.000000%
LongRunning_5min,116920,30000,256.586,3.61597,7,8,70.000000%,1,5,1000,30.000000%
Concurrent_1thread,3826,1000,261.37,3.592,7,8,70.000000%,1,5,1000,30.000000%
Concurrent_2threads,1924,1000,519.751,3.555,7,8,70.000000%,2,5,1000,30.000000%
Concurrent_4threads,973,1000,1027.75,3.635,7,8,70.000000%,4,5,1000,30.000000%
Concurrent_8threads,507,1000,1972.39,3.557,7,8,70.000000%,8,5,1000,30.000000%
